CLIENT_CODE,FILE_NBR,SUBMISSION_NUMBER,LINE_NUMBER,INPATIENT_REVENUE,OUTPATIENT_REVENUE,TOTAL_REVENUE,INPATIENT_DEDUCTION,OUTPATIENT_DEDUCTION,TOTAL_DEDUCTION,NET_INPATIENT_REVENUE,NET_OUTPATIENT_REVENUE,NET_PATIENT_REVENUE
23,100258,1.00258010120191e+35,17,,,,65504472,53087832,118592304,-65504472,-53087832,-118592304
23,100258,1.00258010120191e+35,18,,,,,,,,,
23,100258,1.00258010120191e+35,19,2708543632,988128487,3696672119,2405252851,888191649,3293444500,303290781,99936838,403227619
23,100258,1.00258010120191e+35,20,,,,,,,,,
23,100258,1.00258010120191e+35,21,2708543632,988128487,3696672119,2405252851,888191649,3293444500,303290781,99936838,403227619
23,100258,1.00258010120191e+35,22,,,1733700107,,,1481411049,,,252289058
23,100259,1.00259010120191e+35,1,,,,2105129,2864529,4969658,-2105129,-2864529,-4969658
23,100259,1.00259010120191e+35,2,17375250,29013315,46388565,,,,17375250,29013315,46388565
23,100259,1.00259010120191e+35,3,,,,,,,,,
23,100259,1.00259010120191e+35,4,,,,5893899,7639883,13533782,-5893899,-7639883,-13533782
23,100259,1.00259010120191e+35,5,255859756,101736525,357596281,233117265,98059865,331177130,22742491,3676660,26419151
23,100259,1.00259010120191e+35,6,8105130,8531184,16636314,7692219,8498089,16190308,412911,33095,446006
23,100259,1.00259010120191e+35,7,16006692,19174359,35181051,11862159,12474835,24336994,4144533,6699524,10844057
23,100259,1.00259010120191e+35,8,,,,,,,,,
23,100259,1.00259010120191e+35,9,,,,,,,,,
23,100259,1.00259010120191e+35,10,197222852,80879088,278101940,181628717,75817089,257445806,15594135,5061999,20656134
23,100259,1.00259010120191e+35,11,14055323,24160424,38215747,13529380,24014746,37544126,525943,145678,671621
23,100259,1.00259010120191e+35,12,18896690,23487474,42384164,15375568,19217169,34592737,3521122,4270305,7791427
23,100259,1.00259010120191e+35,13,21818771,30509272,52328043,16085262,22718713,38803975,5733509,7790559,13524068
23,100259,1.00259010120191e+35,14,1581449,6855665,8437114,299350,718704,1018054,1282099,6136961,7419060
23,100259,1.00259010120191e+35,15,,,,5229,10726,15955,-5229,-10726,-15955
23,100259,1.00259010120191e+35,16,,,,1197583,3611176,4808759,-1197583,-3611176,-4808759
23,100259,1.00259010120191e+35,17,,,,13436677,26844929,40281606,-13436677,-26844929,-40281606
23,100259,1.00259010120191e+35,18,,,,,,,,,
23,100259,1.00259010120191e+35,19,550921913,324347306,875269219,502228437,302490453,804718890,48693476,21856853,70550329
23,100259,1.00259010120191e+35,20,,,,,,,,,
23,100259,1.00259010120191e+35,21,550921913,324347306,875269219,502228437,302490453,804718890,48693476,21856853,70550329
23,100259,1.00259010120191e+35,22,,,411029894,,,368386644,,,42643250
23,100260,1.00260010120191e+35,1,,,,9531458,11729712,21261170,-9531458,-11729712,-21261170
23,100260,1.00260010120191e+35,2,87793393,69666931,157460324,,,,87793393,69666931,157460324
23,100260,1.00260010120191e+35,3,,,,,,,,,
23,100260,1.00260010120191e+35,4,,,,2410658,1062409,3473067,-2410658,-1062409,-3473067
23,100260,1.00260010120191e+35,5,548268261,119430304,667698565,499576920,115164213,614741133,48691341,4266091,52957432
23,100260,1.00260010120191e+35,6,30236545,17806213,48042758,28959851,17862664,46822515,1276694,-56451,1220243
23,100260,1.00260010120191e+35,7,21005325,19832791,40838116,15955760,16967421,32923181,5049565,2865370,7914935
23,100260,1.00260010120191e+35,8,,,,,,,,,
23,100260,1.00260010120191e+35,9,,,,,,,,,
23,100260,1.00260010120191e+35,10,347130091,135479087,482609178,319599003,126035363,445634366,27531088,9443724,36974812
23,100260,1.00260010120191e+35,11,69080423,77189019,146269442,64652090,74815087,139467177,4428333,2373932,6802265
23,100260,1.00260010120191e+35,12,94513488,94074229,188587717,71286380,66198664,137485044,23227108,27875565,51102673
23,100260,1.00260010120191e+35,13,121957867,110775564,232733431,81619252,60364405,141983657,40338615,50411159,90749774
23,100260,1.00260010120191e+35,14,2444840,10348559,12793399,309381,2244826,2554207,2135459,8103733,10239192
23,100260,1.00260010120191e+35,15,,,,5175,,5175,-5175,,-5175
23,100260,1.00260010120191e+35,16,,,,9399002,17540020,26939022,-9399002,-17540020,-26939022
23,100260,1.00260010120191e+35,17,,,,82247877,66497746,148745623,-82247877,-66497746,-148745623
23,100260,1.00260010120191e+35,18,,,,,,,,,
23,100260,1.00260010120191e+35,19,1322430233,654602697,1977032930,1185552807,576482530,1762035337,136877426,78120167,214997593
23,100260,1.00260010120191e+35,20,,,,,,,,,
23,100260,1.00260010120191e+35,21,1322430233,654602697,1977032930,1185552807,576482530,1762035337,136877426,78120167,214997593
23,100260,1.00260010120191e+35,22,,,1050199768,,,864570244,,,185629524
